dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RAS,OE,KRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103.2818622,-141.4019602,-23.00552195,10.02470252,30.61765188,24.54123156,23.82167456,17.82517328,22.12220566,20.3338741,20.87268285,17.84508321,21.55164856,27.25195781,22.61843772,32.51709946,-1.402999591,-0.936058782,-1.091464097,-0.942569053,-2.023549009,-1.156034907,1.753794236,-0.386289996,-1.817054794,-2.889855553,-2.05615822,4.481153237,-6.609084639,-2.681032455,-4.131737844,-1.033789496,-0.996881232,-0.928035483,-0.98154531,-1.050676636,-1.128247621,-1.205145234,-1.265873429,-1.307744182,-2.437315465,-1.670311025,-1.805123557,-1.970916682,-1.815450422,-1.86383022,-1.883399108,-1.854226583,-1.867151971,-1.868259221,-1.863212592,-1.866207928,-1.865893247,-1.865104589,-1.865735254,-1.865577697,-1.865472513,-1.865595155,-1.865548455,-1.865538708,-1.865560772,-1.865549312,-1.865549597,-1.865553227,-1.865550712,-1.865551179,-1.865551706,-1.865551199,-1.865551361,-1.865551422,-1.865551327
RAS,OE,OLQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.97904E-13,-107.5981652,-145.7182632,-27.32182495,5.708399522,26.30134888,20.22492857,19.50537156,13.50887028,17.80590266,16.0175711,16.55637985,13.52878021,17.23534556,22.93565481,18.30213472,28.20079646,-3.184576555,-2.124567397,-2.457303716,-2.116901636,-4.518932625,-2.582922613,3.901494261,-0.863889574,-4.049957462,-6.439645526,-4.582299697,9.983136199,-14.72590161,-5.975004547,-9.209121117,-2.30451764,-2.222293077,-2.068875347,-2.188225024,-2.34242252,-2.515459989,-2.687021499,-2.822554295,-2.916057467,-5.435203193,-3.724604985,-4.025288548,-4.395032242,-4.048308592,-4.156209794,-4.199850209,-4.134789532,-4.163616512,-4.166085417,-4.154830487,-4.161510805,-4.160808903,-4.159050065,-4.160456591,-4.160105186,-4.159870614,-4.160144131,-4.160039977,-4.160018241,-4.160067449,-4.160041889,-4.160042526,-4.160050622,-4.160045012,-4.160046053,-4.160047229,-4.160046098,-4.16004646,-4.160046596,-4.160046385
RAS,OE,NGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.62443023,-84.5669508,-30.60467528,3.089974248,-11.97775462,-5.139992957,-21.40681334,-8.791161981,-20.41338532,-13.6123134,1.565152784,0.493636432,5.665332111,8.403086007,7.950936852,-1.530884231,-6.765286903,-7.364298878,-3.693207355,-13.16521281,-14.49797884,0.381995149,-3.421809634,0.400134229,-3.705257692,-2.702928984,-1.536701504,-0.784772192,14.35155775,-0.787047658,-3.869504283,-13.32198889,-2.848682318,-0.839699747,4.551044866,1.584980927,8.000263076,0.476422485,10.10529521,4.8826151,1.516338189,5.501416166,3.966789818,3.661514725,4.37657357,4.001626038,4.013238111,4.130479239,4.048447796,4.064055049,4.080994028,4.064498958,4.069849345,4.071780777,4.068709693,4.070113272,4.070201247,4.069674737,4.069996419,4.069957468,4.069876208,4.069943365,4.06992568,4.069915084,4.069928043,4.069922936,4.069922021,4.069924333,4.069923097,4.06992315,4.069923527
RAS,OE,OGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.62443023,-84.5669508,-30.60467528,3.089974248,-11.97775462,-5.139992957,-21.40681334,-8.791161981,-20.41338532,-13.6123134,1.565152784,0.493636432,5.665332111,8.403086007,7.950936852,-1.530884231,-6.765286903,-7.364298878,-3.693207355,-13.16521281,-14.49797884,0.381995149,-3.421809634,0.400134229,-3.705257692,-2.702928984,-1.536701504,-0.784772192,14.35155775,-0.787047658,-3.869504283,-13.32198889,-2.848682318,-0.839699747,4.551044866,1.584980927,8.000263076,0.476422485,10.10529521,4.8826151,1.516338189,5.501416166,3.966789818,3.661514725,4.37657357,4.001626038,4.013238111,4.130479239,4.048447796,4.064055049,4.080994028,4.064498958,4.069849345,4.071780777,4.068709693,4.070113272,4.070201247,4.069674737,4.069996419,4.069957468,4.069876208,4.069943365,4.06992568,4.069915084,4.069928043,4.069922936,4.069922021,4.069924333,4.069923097,4.06992315,4.069923527
RAS,OE,STE1CL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OE,STE1CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OE,STE1CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OE,STE1CR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OE,STE1CG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OE,STE1CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OE,STE1AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OE,STE1AH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OE,STE1AD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OE,STE1AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OE,STE1AG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OE,STE1AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OE,BMSWAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OE,ELC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OI,LGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OI,HCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OI,GDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103.2818622,-141.4019602,-23.00552195,10.02470252,30.61765188,24.54123156,23.82167456,17.82517328,22.12220566,20.3338741,20.87268285,17.84508321,21.55164856,27.25195781,22.61843772,32.51709946,-1.402999591,-0.936058782,-1.091464097,-0.942569053,-2.023549009,-1.156034907,1.753794236,-0.386289996,-1.817054794,-2.889855553,-2.05615822,4.481153237,-6.609084639,-2.681032455,-4.131737844,-1.033789496,-0.996881232,-0.928035483,-0.98154531,-1.050676636,-1.128247621,-1.205145234,-1.265873429,-1.307744182,-2.437315465,-1.670311025,-1.805123557,-1.970916682,-1.815450422,-1.86383022,-1.883399108,-1.854226583,-1.867151971,-1.868259221,-1.863212592,-1.866207928,-1.865893247,-1.865104589,-1.865735254,-1.865577697,-1.865472513,-1.865595155,-1.865548455,-1.865538708,-1.865560772,-1.865549312,-1.865549597,-1.865553227,-1.865550712,-1.865551179,-1.865551706,-1.865551199,-1.865551361,-1.865551422,-1.865551327
RAS,OI,RFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.97904E-13,-107.5981652,-145.7182632,-27.32182495,5.708399522,26.30134888,20.22492857,19.50537156,13.50887028,17.80590266,16.0175711,16.55637985,13.52878021,17.23534556,22.93565481,18.30213472,28.20079646,-3.184576555,-2.124567397,-2.457303716,-2.116901636,-4.518932625,-2.582922613,3.901494261,-0.863889574,-4.049957462,-6.439645526,-4.582299697,9.983136199,-14.72590161,-5.975004547,-9.209121117,-2.30451764,-2.222293077,-2.068875347,-2.188225024,-2.34242252,-2.515459989,-2.687021499,-2.822554295,-2.916057467,-5.435203193,-3.724604985,-4.025288548,-4.395032242,-4.048308592,-4.156209794,-4.199850209,-4.134789532,-4.163616512,-4.166085417,-4.154830487,-4.161510805,-4.160808903,-4.159050065,-4.160456591,-4.160105186,-4.159870614,-4.160144131,-4.160039977,-4.160018241,-4.160067449,-4.160041889,-4.160042526,-4.160050622,-4.160045012,-4.160046053,-4.160047229,-4.160046098,-4.16004646,-4.160046596,-4.160046385
RAS,OI,LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103.2818622,-141.4019602,-23.00552195,10.02470252,30.61765188,24.54123156,23.82167456,17.82517328,22.12220566,20.3338741,20.87268285,17.84508321,21.55164856,27.25195781,22.61843772,32.51709946,-1.402999591,-0.936058782,-1.091464097,-0.942569053,-2.023549009,-1.156034907,1.753794236,-0.386289996,-1.817054794,-2.889855553,-2.05615822,4.481153237,-6.609084639,-2.681032455,-4.131737844,-1.033789496,-0.996881232,-0.928035483,-0.98154531,-1.050676636,-1.128247621,-1.205145234,-1.265873429,-1.307744182,-2.437315465,-1.670311025,-1.805123557,-1.970916682,-1.815450422,-1.86383022,-1.883399108,-1.854226583,-1.867151971,-1.868259221,-1.863212592,-1.866207928,-1.865893247,-1.865104589,-1.865735254,-1.865577697,-1.865472513,-1.865595155,-1.865548455,-1.865538708,-1.865560772,-1.865549312,-1.865549597,-1.865553227,-1.865550712,-1.865551179,-1.865551706,-1.865551199,-1.865551361,-1.865551422,-1.865551327
RAS,OI,KRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103.2818622,-141.4019602,-23.00552195,10.02470252,30.61765188,24.54123156,23.82167456,17.82517328,22.12220566,20.3338741,20.87268285,17.84508321,21.55164856,27.25195781,22.61843772,32.51709946,-1.402999591,-0.936058782,-1.091464097,-0.942569053,-2.023549009,-1.156034907,1.753794236,-0.386289996,-1.817054794,-2.889855553,-2.05615822,4.481153237,-6.609084639,-2.681032455,-4.131737844,-1.033789496,-0.996881232,-0.928035483,-0.98154531,-1.050676636,-1.128247621,-1.205145234,-1.265873429,-1.307744182,-2.437315465,-1.670311025,-1.805123557,-1.970916682,-1.815450422,-1.86383022,-1.883399108,-1.854226583,-1.867151971,-1.868259221,-1.863212592,-1.866207928,-1.865893247,-1.865104589,-1.865735254,-1.865577697,-1.865472513,-1.865595155,-1.865548455,-1.865538708,-1.865560772,-1.865549312,-1.865549597,-1.865553227,-1.865550712,-1.865551179,-1.865551706,-1.865551199,-1.865551361,-1.865551422,-1.865551327
RAS,OI,OLQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.97904E-13,-107.5981652,-145.7182632,-27.32182495,5.708399522,26.30134888,20.22492857,19.50537156,13.50887028,17.80590266,16.0175711,16.55637985,13.52878021,17.23534556,22.93565481,18.30213472,28.20079646,-3.184576555,-2.124567397,-2.457303716,-2.116901636,-4.518932625,-2.582922613,3.901494261,-0.863889574,-4.049957462,-6.439645526,-4.582299697,9.983136199,-14.72590161,-5.975004547,-9.209121117,-2.30451764,-2.222293077,-2.068875347,-2.188225024,-2.34242252,-2.515459989,-2.687021499,-2.822554295,-2.916057467,-5.435203193,-3.724604985,-4.025288548,-4.395032242,-4.048308592,-4.156209794,-4.199850209,-4.134789532,-4.163616512,-4.166085417,-4.154830487,-4.161510805,-4.160808903,-4.159050065,-4.160456591,-4.160105186,-4.159870614,-4.160144131,-4.160039977,-4.160018241,-4.160067449,-4.160041889,-4.160042526,-4.160050622,-4.160045012,-4.160046053,-4.160047229,-4.160046098,-4.16004646,-4.160046596,-4.160046385
RAS,OI,NGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.62443023,-84.5669508,-30.60467528,3.089974248,-11.97775462,-5.139992957,-21.40681334,-8.791161981,-20.41338532,-13.6123134,1.565152784,0.493636432,5.665332111,8.403086007,7.950936852,-1.530884231,-6.765286903,-7.364298878,-3.693207355,-13.16521281,-14.49797884,0.381995149,-3.421809634,0.400134229,-3.705257692,-2.702928984,-1.536701504,-0.784772192,14.35155775,-0.787047658,-3.869504283,-13.32198889,-2.848682318,-0.839699747,4.551044866,1.584980927,8.000263076,0.476422485,10.10529521,4.8826151,1.516338189,5.501416166,3.966789818,3.661514725,4.37657357,4.001626038,4.013238111,4.130479239,4.048447796,4.064055049,4.080994028,4.064498958,4.069849345,4.071780777,4.068709693,4.070113272,4.070201247,4.069674737,4.069996419,4.069957468,4.069876208,4.069943365,4.06992568,4.069915084,4.069928043,4.069922936,4.069922021,4.069924333,4.069923097,4.06992315,4.069923527
RAS,OI,OGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.62443023,-84.5669508,-30.60467528,3.089974248,-11.97775462,-5.139992957,-21.40681334,-8.791161981,-20.41338532,-13.6123134,1.565152784,0.493636432,5.665332111,8.403086007,7.950936852,-1.530884231,-6.765286903,-7.364298878,-3.693207355,-13.16521281,-14.49797884,0.381995149,-3.421809634,0.400134229,-3.705257692,-2.702928984,-1.536701504,-0.784772192,14.35155775,-0.787047658,-3.869504283,-13.32198889,-2.848682318,-0.839699747,4.551044866,1.584980927,8.000263076,0.476422485,10.10529521,4.8826151,1.516338189,5.501416166,3.966789818,3.661514725,4.37657357,4.001626038,4.013238111,4.130479239,4.048447796,4.064055049,4.080994028,4.064498958,4.069849345,4.071780777,4.068709693,4.070113272,4.070201247,4.069674737,4.069996419,4.069957468,4.069876208,4.069943365,4.06992568,4.069915084,4.069928043,4.069922936,4.069922021,4.069924333,4.069923097,4.06992315,4.069923527
RAS,OI,STE1CL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OI,STE1CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OI,STE1CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OI,STE1CR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OI,STE1CG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OI,STE1CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OI,STE1AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OI,STE1AH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OI,STE1AD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OI,STE1AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OI,STE1AG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OI,STE1AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OI,BMSWAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OI,ELC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,PC,GSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109.1265109,-147.2466089,-28.85017067,4.180053797,24.77300315,18.69658284,17.97702584,11.98052455,16.27755694,14.48922538,15.02803412,12.00043448,15.70699984,21.40730909,16.77378899,26.67245074,-1.508419683,-1.006463935,-1.169212512,-1.008579541,-2.15939146,-1.233911217,1.867996129,-0.412524689,-1.937177594,-3.08039719,-2.191715836,4.775879988,-7.044122823,-2.857539211,-4.403687092,-1.101854352,-1.062506133,-0.989122355,-1.046148503,-1.119825807,-1.202499268,-1.284455789,-1.349179325,-1.393804796,-2.597709737,-1.780231286,-1.923915273,-2.100618765,-1.934921775,-1.986485271,-2.007341937,-1.976249661,-1.990025623,-1.99120574,-1.985827008,-1.989019457,-1.988684068,-1.987843511,-1.988515679,-1.988347753,-1.988235647,-1.98836636,-1.988316587,-1.988306198,-1.988329715,-1.9883175,-1.988317804,-1.988321673,-1.988318992,-1.98831949,-1.988320052,-1.988319511,-1.988319684,-1.988319749,-1.988319648
RAS,PC,LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-106.2041865,-144.3242845,-25.92784631,7.102378159,27.69532751,21.6189072,20.8993502,14.90284892,19.1998813,17.41154974,17.95035849,14.92275884,18.6293242,24.32963345,19.69611336,29.5947751,-1.455709637,-0.971261359,-1.130338304,-0.975574297,-2.091470234,-1.194973062,1.810895183,-0.399407343,-1.877116194,-2.985126372,-2.123937028,4.628516612,-6.826603731,-2.769285833,-4.267712468,-1.067821924,-1.029693683,-0.958578919,-1.013846907,-1.085251222,-1.165373445,-1.244800511,-1.307526377,-1.350774489,-2.517512601,-1.725271155,-1.864519415,-2.035767724,-1.875186098,-1.925157746,-1.945370522,-1.915238122,-1.928588797,-1.92973248,-1.9245198,-1.927613692,-1.927288657,-1.92647405,-1.927125467,-1.926962725,-1.92685408,-1.926980757,-1.926932521,-1.926922453,-1.926945244,-1.926933406,-1.926933701,-1.92693745,-1.926934852,-1.926935334,-1.926935879,-1.926935355,-1.926935523,-1.926935585,-1.926935488
RAS,PC,GDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103.2818622,-141.4019602,-23.00552195,10.02470252,30.61765188,24.54123156,23.82167456,17.82517328,22.12220566,20.3338741,20.87268285,17.84508321,21.55164856,27.25195781,22.61843772,32.51709946,-1.402999591,-0.936058782,-1.091464097,-0.942569053,-2.023549009,-1.156034907,1.753794236,-0.386289996,-1.817054794,-2.889855553,-2.05615822,4.481153237,-6.609084639,-2.681032455,-4.131737844,-1.033789496,-0.996881232,-0.928035483,-0.98154531,-1.050676636,-1.128247621,-1.205145234,-1.265873429,-1.307744182,-2.437315465,-1.670311025,-1.805123557,-1.970916682,-1.815450422,-1.86383022,-1.883399108,-1.854226583,-1.867151971,-1.868259221,-1.863212592,-1.866207928,-1.865893247,-1.865104589,-1.865735254,-1.865577697,-1.865472513,-1.865595155,-1.865548455,-1.865538708,-1.865560772,-1.865549312,-1.865549597,-1.865553227,-1.865550712,-1.865551179,-1.865551706,-1.865551199,-1.865551361,-1.865551422,-1.865551327
